公開ステータス(ID),商品コード,商品名,催事コード,部門コード,販売価格,通常価格,税率,商品説明(一覧),商品説明(詳細),店舗コード,在庫数,在庫数無制限フラグ,販売制限数,商品画像
1,2200001000120,マテガイ,,33,1200.00,1200.00,,マテガイ一覧用,マテガイ(詳細),052,7,,,
1,2200001000020,ヤクシマダカラ,,31,2500.00,2500.00,,いるか岬で上がりました,いるか岬で上がりました,,99,,2,0802070301_61071a15b25a8.jpg
1,2200001000030,ヤツシロガイ,,31,800.00,,,木崎浜,木崎浜,052,25,,,0802071629_61071d3d0483b.jpg
1,2200001000030,ヤツシロガイ,,31,800.00,,,木崎浜,木崎浜,056,50,,,0802071629_61071d3d0483b.jpg
1,2200001000030,ヤツシロガイ,,31,800.00,,,木崎浜,木崎浜,055,48,,,0802071629_61071d3d0483b.jpg
1,2200001000030,ヤツシロガイ,,31,800.00,,,木崎浜,木崎浜,053,50,,,0802071629_61071d3d0483b.jpg
1,2200001000030,ヤツシロガイ,,31,800.00,,,木崎浜,木崎浜,054,50,,,0802071629_61071d3d0483b.jpg
1,2200001000010,イトマキボラ,,31,3000.00,3000.00,,青島どれのイトマキボラ,青島どれのイトマキボラ。全長１７ｃｍ,,,1,2,0802065547_61071863f1ced.jpg
1,2200001000040,オニノツノガイ,,31,7000.00,7000.00,,オニノツノガイ一覧用,オニノツノガイ(詳細),,89,,,
1,2200001000050,ヤリガイ,,33,7000.00,7000.00,,ヤリガイ一覧用,ヤリガイ(詳細),052,9,,,
1,2200001000050,ヤリガイ,,33,7000.00,7000.00,,ヤリガイ一覧用,ヤリガイ(詳細),056,10,,,
1,2200001000060,ツメタガイ,,33,700.00,700.00,,ツメタガイ一覧用,ツメタガイ(詳細),052,97,,,
1,2200001000060,ツメタガイ,,33,700.00,700.00,,ツメタガイ一覧用,ツメタガイ(詳細),056,100,,,
1,2200001000060,ツメタガイ,,33,700.00,700.00,,ツメタガイ一覧用,ツメタガイ(詳細),055,100,,,
1,2200001000070,ヒメダカラ,,31,1100.00,1100.00,,ヒメダカラ一覧用,ヒメダカラ(詳細),,85,,,0807094922_610dd892eb2d1.jpg
1,2200001000080,ホネガイ,,33,2200.00,2200.00,,ホネガイ一覧用,ホネガイ(詳細),052,8,,,
1,2200001000080,ホネガイ,,33,2200.00,2200.00,,ホネガイ一覧用,ホネガイ(詳細),056,10,,,
1,2200001000080,ホネガイ,,33,2200.00,2200.00,,ホネガイ一覧用,ホネガイ(詳細),055,9,,,
1,2200001000090,ザルガイ,,33,1100.00,1100.00,,ザルガイ一覧用,ザルガイ(詳細),,91,,,
2,2200001000100,コヤスガイ,,33,11000.00,11000.00,10,コヤスガイ一覧用,コヤスガイ(詳細),052,10,,,
1,2200001000110,サクラガイ,,33,11000.00,11000.00,10,サクラガイ一覧用,サクラガイ(詳細),052,8,,,
